Name,Straße,PLZ/Stadt,Sterne,Bewertungen
Mensa Düppel ,Oertzenweg 19b,14163 Berlin,"2,6",87
Mensa Charité Zahnklinik ,Aßmannshauser Straße 2-6,14197 Berlin,"3,2",99
Mensa Teltower Damm ,Teltower Damm 118-122,14167 Berlin,"3,4",56
Mensa Luxemburger Straße ,Luxemburger Straße 9,13353 Berlin,"3,4",781
Mensa Hellersdorf ,Kokoschkaplatz 8a,12627 Berlin,"3,4",111
Mensa Studierendenhaus ,Von-Melle-Park 2,20146 Hamburg,"3,3",3.474
Mensa Stellingen ,Vogt-Kölln-Straße 30,22527 Hamburg,"3,8",325
Mensa Philosophenturm ,Von-Melle-Park 6,20146 Hamburg,"3,3",2.075
Mensa Geomatikum ,Bundesstraße 55,20146 Hamburg,"3,6",826
Mensa Botanischer Garten ,Ohnhorststraße 18,22609 Hamburg,"3,6",378
Café Jungiusstraße ,Jungiusstraße 9,20355 Hamburg,"3,6",96
Café dell'Arte ,Edmund-Siemers-Allee 1,20146 Hamburg,"3,9",52
Café CFEL ,Notkestraße 85,22607 Hamburg,"3,1",309
Café am Mittelweg ,Mittelweg 177,20148 Hamburg,"3,7",143
Blattwerk ,Von-Melle-Park 5,20146 Hamburg,"3,5",3.208
Mensa Harburg ,Denickestraße 22,21073 Hamburg,"3,6",7.770
Mensa Griebnitzsee ,August-Bebel-Straße 89,14482 Potsdam,"3,4",1.455
Mensa Golm ,Karl-Liebknecht-Straße 24/25,14476 Potsdam,"3,6",935
Mensa Waldcampus ,Alfred-Möller-Straße 1,16225 Eberswalde,-,-
Mensa Sachsendorf ,Lipezker Straße 47,03048 Cottbus,"3,7",411
Mensa BTU ,Friedlieb-Runge-Straße 1,03046 Cottbus,"3,4",344
Unique Café ,Enrique-Schmidt-Straße 7,28359 Bremen,"3,6",490
Unimensa am Boulevard ,Leobener Straße 3,28359 Bremen,"3,6",38.441
Unikum ,Bibliothekstraße 1,28359 Bremen,"3,2",161
Mensa NW1 ,Otto-Hahn-Allee 1,28359 Bremen,"3,5",1.497
Mensa Domshof ,Domshof 26,28199 Bremen,"3,6",337
Caféteria GW2 ,Enrique-Schmidt-Straße 1,28359 Bremen,"3,9",1.841
Café Central ,Leobener Straße 3,28359 Bremen,"3,4",275
Mensa Werderstraße ,Werderstraße 73,28199 Bremen,"3,5",5.246
Mensa Neustadtswall ,Neustadtswall 33,28199 Bremen,"3,4",14.745
Mensa Airport ,Flughafenallee 10,28199 Bremen,"3,3",2.721
Interimsmensa HfK ,Am Speicher XI 8,28217 Bremen,"3,3",63
Mensa Stadtcampus ,Goethestraße 11,16225 Eberswalde,"3,4",231
Mensa Am Neuen Palais ,Am Neuen Palais 10,14469 Potsdam,"3,9",480
Mensa Filmuniversität ,Marlene-Dietrich-Allee 11,14482 Potsdam,"3,6",152
Mensa Kiepenheuerallee ,Kiepenheuerallee 5,14469 Potsdam,"3,6",2.657
Café ZessP ,Am Schwarzenberg-Campus 2,21073 Hamburg,"4,0",169
Mensa HCU ,Überseeallee 16,20457 Hamburg,"3,3",3.073
Mensa Finkenau ,Finkenau 35,22081 Hamburg,"3,5",869
Mensa Berliner Tor ,Berliner Tor 7,20099 Hamburg,"3,5",4.059
Mensa Bergedorf ,Lohbrügger Kirchstraße 65,21033 Hamburg,"3,5",1.235
Café Alexanderstraße ,Alexanderstraße 1,20099 Hamburg,"3,5",77
Mensa Bucerius Law School ,Jungiusstraße 6,20355 Hamburg,"3,3",3.409
Mensa Bertramstraße ,Bertramstraße 27,65185 Wiesbaden,"3,3",505
mensa accent ,Kurt-Schumacher-Ring 18,65197 Wiesbaden,"3,5",710
Philipps Bistro ,Erlenring 5,35037 Marburg,"3,7",1.241
Zentralmensa ,Arnold-Bode-Straße 4,34127 Kassel,"3,7",8.929
Pausen-CamBus ,Otto-Behaghel-Straße 27,35394 Gießen,"3,4",51
Mensa Otto-Behaghel-Straße ,Otto-Behaghel-Straße 27,35394 Gießen,"3,8",5.071
Mensa Mildred-Harnack-Fish-Haus ,Leihgesterner Weg 16,35392 Gießen,"3,7",1.606
Mensa im Park ,Offenbacher Landstraße 224,60599 Frankfurt am Main,-,-
Mensa HfMDK ,Eschersheimer Landstraße 35,60322 Frankfurt am Main,"3,1",160
Mensa Stadtmitte ,Alexanderstraße 14,64283 Darmstadt,"3,4",1.784
Mensa Lichtwiese ,Alarich-Weiss-Straße 3,64287 Darmstadt,"3,2",1.285
Mensa Ulme 45 ,Ulmenstraße 45,18057 Rostock,"3,7",3.213
Mensa Süd ,Albert-Einstein-Straße 6a,18059 Rostock,"3,7",8.788
Mensa Campus Loefflerstraße ,Ernst-Lohmeyer-Platz 5,17489 Greifswald,"3,7",2.417
Mensa Campus Beitz-Platz ,Fleischmannstraße 40,17489 Greifswald,"3,5",8.907
Mensa St.-Georg-Straße ,St.-Georg-Straße 104-107,18055 Rostock,"3,1",1.523
Mensa Multiple Choice ,Schillingallee 70,18057 Rostock,"3,6",765
Mensa Kantilene ,Beim St.-Katharinenstift 8,18055 Rostock,"3,6",305
Mensa Vechta ,Universitätsstraße 1,49377 Vechta,"3,8",7.751
Bistro Vechta ,Universitätsstraße 1,49377 Vechta,-,-
Mensa Schöfferstraße ,Schöfferstraße 3,64295 Darmstadt,"3,3",2.468
Bistro Haardtring ,Haardtring 100,64295 Darmstadt,"3,2",425
Sommergarten ,Theodor-W.-Adorno-Platz 2a,60323 Frankfurt am Main,-,-
Mensa Pi x Gaumen ,Max-von-Laue-Straße 9,60439 Frankfurt am Main,"3,4",1.635
Mensa Casino ,Theodor-W.-Adorno-Platz 1,60323 Frankfurt am Main,"3,3",2.518
Mensa Anbau Casino ,Theodor-W.-Adorno-Platz 1,60323 Frankfurt am Main,"3,2",2.328
Cocktailbar Anbau Casino ,Theodor-W.-Adorno-Platz 2,60323 Frankfurt am Main,"3,7",40
Casino Cafeteria ,Theodor-W.-Adorno-Platz 2a,60323 Frankfurt am Main,"4,0",30
Cafeteria Level ,Ruth-Moufang-Straße 2,60438 Frankfurt am Main,"3,3",448
Cafeteria Hoagascht ,Rostocker Straße 2,60323 Frankfurt am Main,"4,0",89
Cafeteria Dasein ,Theodor-W.-Adorno-Platz 1,60323 Frankfurt am Main,"3,6",1.841
Cafeteria Darwins ,Max-von-Laue-Straße 13,60438 Frankfurt am Main,"3,5",632
Cafeteria Bockenheim ,Bockenheimer Landstraße 133,60325 Frankfurt am Main,"3,3",465
Café Hochform ,Ginnheimer Landstraße 39,60487 Frankfurt am Main,"2,8",25
Mensa essWERK ,Nibelungenplatz 1,60318 Frankfurt am Main,"3,4",3.024
CaRe Cafeteria Rechenzentrum ,Heinrich-Buff-Ring 44,35392 Gießen,"3,4",376
Cafeteria JuWi ,Licher Straße 68,35394 Gießen,"3,6",187
Cafe am Kunstweg ,Karl-Glöckner-Straße 21,35394 Gießen,"3,4",158
Mensa THM Gießen ,Wiesenstraße 14,35390 Gießen,"3,6",1.726
Cafeteria D13 ,Ringallee 35,35390 Gießen,-,-
Cafeteria Campus Tor ,Platz der Deutschen Einheit 1,35390 Gießen,"3,3",323
Mensa Wilhelmshöher Allee ,Wilhelmshöher Allee 71,34121 Kassel,"3,5",1.088
Mensa Kunsthochschule ,Menzelstraße 13,34121 Kassel,"3,6",212
Mensa Heinrich-Plett-Straße ,Heinrich-Plett-Straße 40,34132 Kassel,"3,5",1.569
Mo's Diner ,Conradistraße,35039 Marburg,"3,7",67
Mensa Lahnberge ,Conradistraße,35039 Marburg,"3,7",4.575
Mensa Erlenring ,Erlenring 5,35037 Marburg,"3,5",8.209
Cafeteria Lahnberge ,Conradistraße,35039 Marburg,"3,2",83
Mensa Schlossgarten ,Ritterstraße 10,49074 Osnabrück,"3,7",26.593
Mensa Wechloy ,Carl-von-Ossietzky-Straße 9-11,26129 Oldenburg,"3,6",5.988
Mensa Campus abends ,Scharnhorststraße 1,21335 Lüneburg,"3,8",238
Mensa Campus ,Scharnhorststraße 1,21335 Lüneburg,"3,6",19.955
Mensa Uhlhornsweg ,Uhlhornsweg 49-55,26129 Oldenburg,"3,7",6.723
Mensa Uni ,Marienburger Platz 22,31141 Hildesheim,"3,5",8.080
Mensa Herrenhausen ,Herrenhäuser Straße 8,30419 Hannover,"3,6",328
Zentralmensa ,Platz der Göttinger Sieben 4,37073 Göttingen,"3,5",12.511
Mensa Italia ,Roedererstraße 15a,37073 Göttingen,"3,4",182
Mensa am Turm ,Goßlerstraße 12b,37073 Göttingen,"3,6",2.859
Lunchbox ,Justus-von-Liebig-Weg,37077 Göttingen,"3,3",379
CampusGastronomie im Norden ,Grisebachstraße 10,37077 Göttingen,"3,3",2.325
Mensa Katharinenstraße abends ,Katharinenstraße 1,38106 Braunschweig,"3,8",311
Mensa Katharinenstraße ,Katharinenstraße 1,38106 Braunschweig,"3,6",14.658
Mensa Beethovenstraße ,Beethovenstraße 15,38106 Braunschweig,"3,8",5.350
Mensa Unteres Schloss ,Obergraben,57072 Siegen,"4,0",3.496
Mensa Emmy-Noether-Campus ,Walter-Flex-Straße 3,57072 Siegen,"3,9",1.356
